ID,Song,Artist,Genre,TopSongs
,She's Everything,Brad Paisley,S Country,
,Then,Brad Paisley,S Country,
,"Shake,Shake Shake",Kc and the Sunshine Band,Disco,
,ABC,Jackson 5,M Dance,
,Billie Jean,Michael Jackson,M Dance,
,Down,Jay Sean and Lil Wayne,Hip Hop,
,Electric Boogie ( Electric Slide),Marcia Griffiths,M Dance,
,Electric Slide,Grandmaster Slice,M Dance,
,Fat Boy,Max a Million,Hip Hop,
,I Cross My Heart,George Strait,S Country,
,Just The Way You Are,Bruno Mars,M Dance,
,Let's Get It On,Marvin Gaye,S Dance,
,Lost In This Moment,Big and Rich,S Country,
,Love Story,Taylor Swift,M Dance,
,Nothing On You,B.O.B and Bruno Mars,M Dance,
,Bette Davis Eyes,Kim Carnnes,M Dance,
,Born To Be Wild,Steppenwolf,F Rock,
,My Sharona,The Knack,M Rock,
,It;s Not Unusual,Tom Jones,Adult Contemperary,
,Beer For My Horses,Toby Keith,M Country,
,Buffalo Soldier,Bob Marley,Reggae,
,Pennsylvania B-5000,Glenn Miller,Big Band,
,Wide Open Spaces,Dixie Chicks,S Country,
,It'sYour Love,Tim McGraw and Faith Hill,S Country,
,Fishing  In The Dark,Nitty Gritty Dirt Band,M Country,
,Happy Birthday,Specialty,Specialty,
,I'm Here For the Party,Gretchen Wilson,F Country,
,Little Sister,Dwight Yoakam,F Country,
,Hypnotize,Notorious Big,Rap,
,How Bizarre,O.M.C,M Dance,
,Hard Days Night,Beatles,60s,
,Devil's Party,INXS,F Dance,
,Flawed Design,Stabilo,F Dance,
,Money Maker,Ludicris,Rap,
,Rock This Party,Rob Sinclair,F Dance,
,Jeopardy,Greg Kihn Band,M Dance,
,Impacto,Daddy Yankee and  Fergie,Reggae,
,Paralyzer,Finger Eleven,F Rock,
,Apologize,Tiberland and One Republic,S Dance,
,Bubbly,Colie Caillat,R and B,
,Seven Year Fool,Jully Black,M Dance,
,Rumors,Time Social Club,M Dance,
,Blame It on the Rain,Milli Vanilli,M Dance,
,Check Yes or No,George Strait,S Country,
,Hella Good,No Doubt,M Dance,
,Wake Up Little Susi,Everly Brothers,60s,
,More and More,Captain Hollywood,F Dance,
,Downunder,Men at Work,M Dance,
,Sunrise,Norah Jones,Dinner,
,Jessie's Girl,Rick Springield,F Rock,
,December 1963,Four Seasons,M Dance,
,Boys Are Back In Town,Thin Lizzy,M Rock,
,If I Ain't Got You,Alicia Keys,S Dance,
,When You Say Nothing At All,Alison Krauss,S Dance,
,All For Love,Bryan Adams and Rod Stewart,S Dance,
,Vacation,Go Gos,F Dance,
,Just A Gigalo,David Lee Roth,M Dance,
,Wipe Out,Safaris,60s,
,Venus,Bananarama,F Dance,
,She Drives Me Crazy,Fine Young Cannibals,M Dance,
,The Look,Roxette,M Dance,
,Joyride,Roxette,M Dance,
,Cold Hearted,Paula Abdul,M Dance,
,Nothing Compares To You,Sinead O'Connor,S Dance,
